source	web_link
ukkoṭanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ukkoṭanasikkhāpadaṃ/ukkoṭanasikkhāpadaṃ.html
duṭṭhullasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/duṭṭhullasikkhāpadaṃ/duṭṭhullasikkhāpadaṃ.html
ūnavīsativassasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ūnavīsativassasikkhāpadaṃ/ūnavīsativassasikkhāpadaṃ.html
theyyasatthasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/theyyasatthasikkhāpadaṃ/theyyasatthasikkhāpadaṃ.html
saṃvidhānasikkhāpadaṃ 2	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/saṃvidhānasikkhāpadaṃ 2/saṃvidhānasikkhāpadaṃ 2.html
ariṭṭhasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ariṭṭhasikkhāpadaṃ/ariṭṭhasikkhāpadaṃ.html
ukkhittasambhogasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ukkhittasambhogasikkhāpadaṃ/ukkhittasambhogasikkhāpadaṃ.html
kaṇṭakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kaṇṭakasikkhāpadaṃ/kaṇṭakasikkhāpadaṃ.html
sahadhammikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sahadhammikasikkhāpadaṃ/sahadhammikasikkhāpadaṃ.html
vilekhanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vilekhanasikkhāpadaṃ/vilekhanasikkhāpadaṃ.html
mohanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/mohanasikkhāpadaṃ/mohanasikkhāpadaṃ.html
pahārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pahārasikkhāpadaṃ/pahārasikkhāpadaṃ.html
talasattikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/talasattikasikkhāpadaṃ/talasattikasikkhāpadaṃ.html
amūlakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/amūlakasikkhāpadaṃ/amūlakasikkhāpadaṃ.html
sañciccasikkhāpadaṃ 2	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sañciccasikkhāpadaṃ 2/sañciccasikkhāpadaṃ 2.html
upassutisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/upassutisikkhāpadaṃ/upassutisikkhāpadaṃ.html
kammappaṭibāhanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kammappaṭibāhanasikkhāpadaṃ/kammappaṭibāhanasikkhāpadaṃ.html
chandaṃadatvāgamanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/chandaṃadatvāgamanasikkhāpadaṃ/chandaṃadatvāgamanasikkhāpadaṃ.html
dubbalasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dubbalasikkhāpadaṃ/dubbalasikkhāpadaṃ.html
pariṇāmanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pariṇāmanasikkhāpadaṃ/pariṇāmanasikkhāpadaṃ.html
antepurasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/antepurasikkhāpadaṃ/antepurasikkhāpadaṃ.html
ratanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ratanasikkhāpadaṃ/ratanasikkhāpadaṃ.html
vikālagāmappavesanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vikālagāmappavesanasikkhāpadaṃ/vikālagāmappavesanasikkhāpadaṃ.html
sūcigharasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sūcigharasikkhāpadaṃ/sūcigharasikkhāpadaṃ.html
mañcapīṭhasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/mañcapīṭhasikkhāpadaṃ/mañcapīṭhasikkhāpadaṃ.html
tūlonaddhasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/tūlonaddhasikkhāpadaṃ/tūlonaddhasikkhāpadaṃ.html
nisīdanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nisīdanasikkhāpadaṃ/nisīdanasikkhāpadaṃ.html
kaṇḍuppaṭicchādisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kaṇḍuppaṭicchādisikkhāpadaṃ/kaṇḍuppaṭicchādisikkhāpadaṃ.html
vassikasāṭikāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vassikasāṭikāsikkhāpadaṃ/vassikasāṭikāsikkhāpadaṃ.html
nandasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nandasikkhāpadaṃ/nandasikkhāpadaṃ.html
pācittiyā	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pācittiyā/pācittiyā.html
pāṭidesanīyā	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pāṭidesanīyā/pāṭidesanīyā.html
paṭhamapāṭidesanīyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamapāṭidesanīyasikkhāpadaṃ/paṭhamapāṭidesanīyasikkhāpadaṃ.html
